IT Corporation,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,
"1 March-30 June, 2026",,,,,,,,,,,,

,CB/TB,Carol,Colin,Heinz,KP/CM,Kevin,Matt,Matt/TB,SG,Tarryn,Not specified,Total
Income,,,,,,,,,,,,
In - IT Corp,,,,,,,,,,,,
Total for CM,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R2,625.00","R2,625.00"
DNS Pointers,,,,,,,,,,,"1,605.00","1,605.00"
Dynamic DNS,,,,,,,,,,,"1,600.00","1,600.00"
Hosting,,,,,,,,,,,"5,462.24","5,462.24"
Hosting Inc Renewal,,,,,,,,,,,"148,578.20","148,578.20"
Registration,,,,,,,,,,,"4,020.00","4,020.00"
Transfer,,,,,,,,,,,"3,170.00","3,170.00"
Total for Domain,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R175,040.87","R175,040.87"
Fax2email,,,,,,,,,,,300.00,300.00
Firewall,,,,,,,,,,,"173,690.00","173,690.00"
Cyberoam,,,,,,,,,,,"44,600.00","44,600.00"
Rental (Firewall X),,,,,,,,,,,"165,645.00","165,645.00"
Total for Firewall,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R383,935.00","R383,935.00"
LTE,,,,,,,,,,,480.00,480.00
LTE Monthly,,,,,,,,,,,"78,835.00","78,835.00"
LTE ROUTER,,,,"4,680.00",,"1,999.00",,,,,,"6,679.00"
LTE Top Up,,,,,,,,,,,"1,862.50","1,862.50"
Total for LTE,R0.00,R0.00,R0.00,"R4,680.00",R0.00,"R1,999.00",R0.00,R0.00,R0.00,R0.00,"R81,177.50","R87,856.50"
Mail Security,,,,,,,,,,,"20,560.00","20,560.00"
Vodacom,,,,,,,,,,,182.71,182.71
Web Maintenance,,,,,,,,,,,"1,100.00","1,100.00"
Website,,,,,,,,,,,"2,700.00","2,700.00"
Total for Web Maintenance,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R3,800.00","R3,800.00"
Total for Internet,R0.00,"R2,860.00",R0.00,"R7,880.00",R0.00,"R1,999.00",R0.00,R0.00,R0.00,R0.00,"R924,594.36","R937,333.36"
Labour,,,,,,,,"42,695.00",,,595.00,"43,290.00"
Monthly SLA,,,,,,,,,,,"640,016.12","640,016.12"
R&T SLA,,,,,,,,,,,,
Blocked SLA,,,,,,,,,,,"11,300.00","11,300.00"
Unlimited SLA,,,,,,,,,,,"66,640.00","66,640.00"
Total for R&T SLA,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R77,940.00","R77,940.00"
Total for Monthly SLA,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R717,956.12","R717,956.12"
Onsite,,,,,,,,,,,"1,737.50","1,737.50"
- Carol,,,,,,,,,,,"1,390.00","1,390.00"
- Colin,,,,,,,,,,,"29,870.00","29,870.00"
- Heinz,,,,,,,,,,,"11,735.00","11,735.00"
- Kevin,,,,,,,,,,,"2,570.00","2,570.00"
